"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 04:01:59 GMT 2025","Mon Feb 10 04:02:41 GMT 2025","42023","Surefire suite","Surefire test","com.example.teamcity.ui.EditProjectTest","com.example.teamcity.ui.EditProjectTest","userDeleteProjectTest","User should not be able to delete project",""
"passed","Mon Feb 10 04:01:43 GMT 2025","Mon Feb 10 04:01:47 GMT 2025","4244","Surefire suite","Surefire test","com.example.teamcity.api.AuthAgentTest","com.example.teamcity.api.AuthAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Mon Feb 10 04:03:06 GMT 2025","Mon Feb 10 04:03:12 GMT 2025","5343","Surefire suite","Surefire test","com.example.teamcity.ui.EditProjectTest","com.example.teamcity.ui.EditProjectTest","userEditProjectNameTest","User should not be able to edit name",""
"passed","Mon Feb 10 04:04:12 GMT 2025","Mon Feb 10 04:04:20 GMT 2025","8445","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreateBuildTypeConfigurationTest","User should be able to create build type configuration",""
"passed","Mon Feb 10 04:02:42 GMT 2025","Mon Feb 10 04:02:50 GMT 2025","8040","Surefire suite","Surefire test","com.example.teamcity.ui.EditProjectTest","com.example.teamcity.ui.EditProjectTest","userEditProjectDescriptionTest","User should not be able to edit description",""
"passed","Mon Feb 10 04:02:50 GMT 2025","Mon Feb 10 04:03:00 GMT 2025","10019","Surefire suite","Surefire test","com.example.teamcity.ui.EditProjectTest","com.example.teamcity.ui.EditProjectTest","userEditProjectIdProjectTest","User should not be able to edit project id",""
"passed","Mon Feb 10 04:04:05 GMT 2025","Mon Feb 10 04:04:12 GMT 2025","6852","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildTypeConfigurationWithoutNameTest","User should not be able to create build type configuration without name",""
"passed","Mon Feb 10 04:03:12 GMT 2025","Mon Feb 10 04:03:31 GMT 2025","19471","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreateProjectTest","User should be able to create project",""
"passed","Mon Feb 10 04:03:57 GMT 2025","Mon Feb 10 04:04:05 GMT 2025","7999","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildTypeConfigurationWithSameNameTest","User should not be able to create build type configuration with same name",""
"passed","Mon Feb 10 04:03:47 GMT 2025","Mon Feb 10 04:03:56 GMT 2025","9645","Surefire suite","Surefire test","com.example.teamcity.ui.RunBuildTypeTest","com.example.teamcity.ui.RunBuildTypeTest","userRunBuildTypeTest","User should be able to run build type with command line `Hello world!` ",""
"passed","Mon Feb 10 04:03:31 GMT 2025","Mon Feb 10 04:03:39 GMT 2025","7293","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreateProjectWithSameNameTest","User should not be able to create project with same name",""
"passed","Mon Feb 10 04:03:39 GMT 2025","Mon Feb 10 04:03:47 GMT 2025","7755","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreateProjectWithoutNameTest","User should not be able to create project without name",""
"passed","Mon Feb 10 04:03:01 GMT 2025","Mon Feb 10 04:03:06 GMT 2025","5428","Surefire suite","Surefire test","com.example.teamcity.ui.EditProjectTest","com.example.teamcity.ui.EditProjectTest","userEditProjectIdWithUnsupportedCharacterProjectErrorTest","User should not be able to edit project id with unsupported character ",""
